covidtrialID,measurementOMOPID
NCT04377659,43012761
NCT04377659,4055286
NCT04419025,4310328
NCT04419025,4224504
NCT04419025,4096101
NCT04419025,4313591
NCT04419025,45771331
NCT04438980,4122259
NCT04438980,2212761
NCT04438980,43012761
NCT04438980,2212333
NCT04399356,4161294
NCT04401475,4096101
NCT04401475,4233883
NCT04401475,4094448
NCT04380961,4120014
NCT04380961,4310328
NCT04380961,4096101
NCT04380961,4233883
NCT04380961,4042999
NCT04377997,4055657
NCT04377997,19054702
NCT04377997,4039428
NCT04377997,4322628
NCT04377997,45889912
NCT04377997,2212643
NCT04377997,35806285
NCT04318015,4094448
NCT04377334,302988
NCT04377334,404092
NCT04395170,4310328
NCT04422275,4222994
NCT04347174,4313591
NCT04347174,4096101
NCT04347174,4094448
NCT04354155,40218805
NCT04354155,3006322
NCT04397692,4310328
NCT04283461,3006322
NCT04283461,4245997
NCT04283461,4245997
NCT04283461,4055286
NCT04283461,4224504
NCT04283461,4152194
NCT04283461,4167743
NCT04283461,4310343
NCT04283461,45889912
NCT04283461,2212643
NCT04283461,4039428
NCT04283461,4041531
NCT04283461,4189605
NCT04283461,42109
NCT04283461,4230543
NCT04283461,99076
NCT04283461,4245261
NCT04283461,4175016
NCT04283461,37111521
NCT04283461,706346
NCT04371406,4122869
NCT04371406,4120014
NCT04371406,4041898
NCT04371406,46003728
NCT04408040,4016186
NCT04408040,4233883
NCT04288102,4313591
NCT04288102,4310328
NCT04288102,410346
NCT04288102,4353936
NCT04435184,403485
NCT04435184,4239666
NCT04435184,4049328
NCT04435184,4096101
NCT04435184,76453
NCT04435184,4094448
NCT04344184,45889581
NCT04352985,1507835
NCT04352985,4140909
NCT04352985,4212484
NCT04352985,2213025
NCT04352985,4267147
NCT04352985,3014315
NCT04390477,4120014
NCT04275414,4313591
NCT04275414,4096101
NCT04275414,410346
NCT04275414,4353936
NCT04354389,4313591
NCT04354389,4096101
NCT04354389,4233883
NCT04354389,4055286
NCT04355247,35923655
NCT04355247,4160457
NCT04402203,37398643
NCT04343729,4096101
NCT04370262,4096101
NCT04344951,4055285
NCT04344951,4311165
NCT04344951,36307747
NCT04302519,4313591
NCT04302519,4310328
NCT04302519,410346
NCT04302519,4353936
NCT04391101,35936749
NCT04391101,4120014
NCT04429763,4120014
NCT04407390,4245997
NCT04439071,4310328
NCT04439071,4096101
NCT04439071,45771331
NCT04439071,4313591
NCT04439071,4094448
NCT04343989,41946586
NCT04343989,4405019
NCT04343989,4096101
NCT04343989,2212761
NCT04343989,4121879
NCT04343989,4103448
NCT04425252,4245997
NCT04416139,4120014
NCT04416139,4233883
NCT04416139,45878743
NCT04416139,4322628
NCT04416139,2212333
NCT04416139,36684937
NCT04394442,4161294
NCT04381923,4086587
NCT04381923,3030067
NCT04352608,4133293
NCT04364815,4120014
NCT04364815,41055
NCT04364815,35936749
NCT04299152,35928795
NCT04359615,45771331
NCT04359615,4096101
NCT04359615,4313591
NCT04334512,4216826
NCT04358614,40484652
NCT04358614,4310328
NCT04358614,4096101
NCT04358614,4233883
NCT04409886,35936593
NCT04409886,4035815
NCT04363034,4313591
NCT04363034,4233883
NCT04380376,40762508
NCT04380376,4310328
NCT04341870,4096101
NCT04341870,4310328
NCT04341870,19025274
NCT04353271,4120014
NCT04369742,4161294
NCT04369742,40769164
NCT04369742,4216826
NCT04348500,4120014
NCT04348500,4310328
NCT04348500,4096101
NCT04348500,4313591
NCT04348500,4233883
NCT04348500,2212761
NCT04426344,45771331
NCT04353128,703439
NCT04353128,4094448
NCT04341389,4245997
NCT04359095,35609763
NCT04359095,40480608
NCT04359095,4310328
NCT04359095,4313591
NCT04359095,36684937
NCT04359095,36684937
NCT04359095,36684937
NCT04359095,4152194
NCT04359095,4150345
NCT04359095,46271813
NCT04359095,3198682
NCT04359095,4213477
NCT04359095,37111521
NCT04359095,44809527
NCT04304313,4313591
NCT04304313,4096101
NCT04304313,4233883
NCT04333589,4239666
NCT04358549,4120014
NCT04390139,4161294
NCT04279197,4099744
NCT04279197,4120014
NCT04338074,37311061
NCT04403477,4313591
NCT04403477,4096101
NCT04403477,4233883
NCT04403477,44789315
NCT04403477,44789316
NCT04345289,4120014
NCT04345289,4096101
NCT04345289,4233883
NCT04345289,4094448
NCT04397562,4313591
NCT04397562,4096101
NCT04397562,4353936
NCT04397562,4152194
NCT04397562,415479
NCT04397562,3014315
NCT04397562,4191725
NCT04397562,36684937
NCT04397562,4126465
NCT04397562,4313591
NCT04397562,4296538
NCT04406389,4122259
NCT04406389,37393605
NCT04389671,41907589
NCT04389671,4405019
NCT04389671,4239021
NCT04356677,4353936
NCT04356677,4096101
NCT04434248,4302666
NCT04434248,35928795
NCT04434248,37398482
NCT04434248,4096101
NCT04339712,3630473
NCT04339712,37397915
NCT04339712,4276031
NCT04354428,4078242
NCT04354428,2212814
NCT04354428,4245997
NCT04402879,4096101
NCT04393311,4310328
NCT04393311,4096101
NCT04382755,4195124
NCT04382755,4120014
NCT04382755,4057304
NCT04382755,42739976
NCT04382755,4196729
NCT04382755,4215562
NCT04382755,4233883
NCT04382755,37397915
NCT04382755,2212333
NCT04382755,4322628
NCT04382755,2212761
NCT04382755,4041162
NCT04409509,4313591
NCT04409509,4096101
NCT04409509,4233883
NCT04409509,45770406
NCT04409509,4042999
NCT04409509,4353936
NCT04409509,4081554
NCT04334265,4239666
NCT04334265,4239666
NCT04392973,4120014
NCT04392973,4310328
NCT04392973,40762508
NCT04380935,4233883
NCT04401410,4120014
NCT04401410,4253759
NCT04401410,4310328
NCT04401410,4096101
NCT04401410,2212643
NCT04401410,423882
NCT04401410,4094448
NCT04401410,4245997
NCT04355897,4120014
NCT04453891,4038535
NCT04453891,4248414
NCT04443075,44783982
NCT04338347,4310328
NCT04338347,4224504
NCT04338347,4323433
NCT04338347,43012761
NCT04338347,2212333
NCT04338347,2212761
NCT04338347,421378
NCT04453501,4120014
NCT04445467,4239666
NCT04445467,4094448
NCT04342806,4249865
NCT04404270,42073673
NCT04455243,37044592
NCT04400838,4094448
NCT04323878,4096101
