covidtrialID,procedureOMOPID
NCT04453384,4052536
NCT04453384,4182536
NCT04371926,19025274
NCT04371926,4052536
NCT04371926,4163951
NCT04312100,706637
NCT04312100,45882769
NCT04312100,4029715
NCT04312100,4273629
NCT04369456,4300185
NCT04369456,419165
NCT04362865,4141762
NCT04298814,4013354
NCT04448054,36308824
NCT04403880,4144375
NCT04403880,4127886
NCT04403880,429799
NCT04409925,19025274
NCT04441372,36308581
NCT04384965,45768178
NCT04384965,4106154
NCT04384965,45881689
NCT04384965,4234743
NCT04384965,4053938
NCT04377685,4300757
NCT04377685,42873024
NCT04387409,4208341
NCT04387409,4028623
NCT04387409,4273629
NCT04387409,4029715
NCT04387409,44789362
NCT04454307,706637
NCT04344977,4144375
NCT04393155,45882769
NCT04452708,44791135
NCT04366141,4033232
NCT04320953,21499495
NCT04320953,35608097
NCT04320953,4112122
NCT04320953,4228886
NCT04316884,706637
NCT04344015,4132738
NCT04435353,35608097
NCT04457349,19006871
NCT04307459,19025274
NCT04307459,4165535
NCT04391829,4164521
NCT04374474,35916704
NCT04469179,36308581
NCT04469179,4099958
NCT04469179,706637
NCT04405544,4220084
NCT04407663,4240345
NCT04407663,429709
NCT04357340,4202832
NCT04341415,423913
NCT04341415,36307523
NCT04419623,45768197
NCT04419623,4220084
NCT04356495,38003159
NCT04356495,706637
NCT04347980,4092441
NCT04347980,4208341
NCT04369599,36712821
NCT04361461,4163951
NCT04342169,4092441
NCT04342169,4208341
NCT04342169,4324124
NCT04342169,37018292
NCT04264533,4168133
NCT04264533,423913
NCT04412395,19025274
NCT04412395,4273629
NCT04382586,19025274
NCT04382586,45882769
NCT04359654,19025274
NCT04344379,44810376
NCT04355637,4139525
NCT04355637,19025274
NCT04329572,45883741
NCT04329572,4098033
NCT04329572,1710612
NCT04374461,19025274
NCT04378712,19025274
NCT04276688,4144375
NCT04388514,4211641
NCT04391179,19025274
NCT04391179,4240345
NCT04331665,19025274
NCT04331665,19025274
NCT04331665,36308581
NCT04349241,4310328
NCT04310865,19025274
NCT04310228,19025274
NCT04310228,45875989
NCT04310228,4027509
NCT04310228,4302259
NCT04322123,36308581
NCT04322123,19025274
NCT04322123,19025274
NCT04420390,4220084
NCT04362813,4202832
NCT04362813,19025274
NCT04343183,412012
NCT04432766,706637
NCT04432766,4027509
NCT04432766,4027509
NCT04431466,4163951
NCT04360837,45882769
NCT04360837,19006871
NCT04359862,4273629
NCT04406064,35622675
NCT04401202,706637
NCT04410159,4300757
NCT04410159,407374
NCT04359329,4202832
NCT04332380,4301351
NCT04332380,4029715
NCT04332380,4273629
NCT04308668,706637
NCT04382625,706637
NCT04427566,4220084
NCT04427566,36308581
NCT04312009,706637
NCT04372602,4182536
NCT04251871,19025274
NCT04421027,44783513
NCT04421027,4021326
NCT04421027,4052536
NCT04421027,4140369
NCT04375124,4182536
NCT04312997,4215685
NCT04363346,40482644
NCT04363346,4314777
NCT04370015,3002644
NCT04362332,45768197
NCT04425733,19025274
NCT04425733,19025274
NCT04425733,4146536
NCT04416048,4182536
NCT04416048,44803204
NCT04416048,4322976
NCT04416048,42537894
NCT04416048,4311405
NCT04416048,4228759
NCT04416048,407374
NCT04416048,4013636
NCT04416048,42539565
NCT04416048,44782967
NCT04405076,3186744
NCT04405076,4144375
NCT04405076,42538189
NCT04405076,4132738
NCT04405076,4144375
NCT04405076,40973
NCT04405076,4027509
NCT04435808,4144375
NCT04276896,4232629
NCT04324021,19025274
NCT04324021,37018292
NCT04324021,412012
NCT04324021,4324124
NCT04327401,4141762
NCT04396106,4211641
NCT04346628,44784322
NCT04346628,35807403
NCT04346628,4273629
NCT04357457,4013354
NCT04364763,706637
NCT04360356,706637
NCT04434131,4052536
NCT04359901,19025274
NCT04359901,46235181
NCT04359901,36308581
NCT04359901,4163872
NCT04319900,19025274
NCT04319900,4106628
NCT04355962,45875989
NCT04332094,706637
NCT04332094,3186744
