covidtrialID,drugOMOPID
NCT04402957,1777087
NCT04402957,1792515
NCT04402957,1734104
NCT04402957,1748921
NCT04264858,4008249
NCT04331808,19025274
NCT04346797,19025274
NCT04346797,19080458
NCT04346797,3580636
NCT04346797,4226249
NCT04383574,21601607
NCT04344431,19025274
NCT04332835,906914
NCT04348474,429709
NCT04381364,19025274
NCT04329195,723691
NCT04393051,36309413
NCT04368377,19025274
NCT04376684,19025274
NCT04516915,19025274
NCT04501978,37018292
NCT04501978,37018292
NCT04523181,4306333
NCT04523181,4037956
NCT04492943,4236736
NCT04497948,4299925
NCT04497948,45768393
NCT04497948,923645
NCT04497948,904453
NCT04497948,929887
NCT04497948,19039926
NCT04497948,911735
NCT04497948,948078
NCT04492358,4320618
NCT04492358,19025274
NCT04510454,40769051
NCT04514302,4194767
NCT04514302,4306137
NCT04517162,19071967
NCT04517162,19069049
NCT04517162,1777806
NCT04517162,1734104
NCT04517162,17505
NCT04517162,1738521
NCT04517162,1784444
NCT04517162,45768801
NCT04517162,1125315
NCT04546841,46285248
NCT04546841,42903913
NCT04500067,4194767
NCT04500067,4306137
NCT04508985,723691
NCT04556513,19025274
NCT04501458,19025274
NCT04530396,4027509
NCT04530396,4008249
NCT04530396,21601148
NCT04530396,1003066
NCT04513184,37313048
NCT04513184,19025274
NCT04530422,4085244
NCT04540419,40796107
NCT04539626,358034
NCT04559074,1361517
NCT04559074,4136651
NCT04559074,4627147
NCT04539275,4052536
NCT04539275,46273315
NCT04539275,4325437
NCT04529447,38003585
NCT04492514,724083
NCT04511819,19025274
NCT04497389,423913
NCT04523571,4194767
NCT04523571,429709
NCT04536285,32418
NCT04542226,19025274
NCT04522466,1777087
NCT04536051,4024511
NCT04536051,36712814
NCT04549636,4165029
NCT04549636,21601607
NCT04549636,45884279
NCT04512118,38004476
NCT04492891,19025274
NCT04492891,37499271
NCT04492891,1518254
NCT04492891,45876559
NCT04515147,4002165
NCT04515147,36311072
NCT04515147,4194767
NCT04515147,19049228
NCT04516668,4015847
NCT04549337,19025274
NCT04545749,4194767
NCT04522817,21601607
NCT04500652,36676631
NCT04530578,358034
NCT04530578,4056822
NCT04505631,19025274
NCT03226886,35804141
NCT04493359,42536027
NCT04491240,19025274
NCT04523246,44788997
NCT04547140,4306137
NCT04547140,17184
NCT04498936,19025274
NCT04513158,4588805
NCT04494724,4299925
NCT04494724,45768393
