covidtrialID,locationID
NCT04363099,loc_1
NCT04458948,loc_0
NCT04477954,loc_22
NCT04343001,loc_42
NCT04343001,loc_25
NCT04409327,loc_0
NCT04389489,loc_18
NCT04502342,loc_89
NCT04323345,loc_14
NCT04348500,loc_0
NCT04344288,loc_1
NCT04355351,loc_1
NCT04482673,loc_0
NCT04488575,loc_0
NCT04407585,loc_5
NCT04481477,loc_2
NCT04344951,loc_21
NCT04344951,loc_0
NCT04530578,loc_22
NCT04463706,loc_2
NCT04485169,loc_25
NCT04361786,loc_1
NCT04371289,loc_3
NCT04554979,loc_14
NCT04495933,loc_9
NCT04536285,loc_14
NCT04433000,loc_3
NCT04261517,loc_10
NCT04458363,loc_0
NCT04494204,loc_17
NCT04348383,loc_2
NCT04383626,loc_14
NCT04367831,loc_0
NCT04334291,loc_2
NCT04550403,loc_3
NCT04505592,loc_0
NCT04389515,loc_18
NCT04479293,loc_14
NCT04346446,loc_17
NCT04360824,loc_0
NCT04499313,loc_45
NCT04447469,loc_0
NCT04359251,loc_10
NCT04527601,loc_11
