covidtrialID,drugOMOPID
NCT04481633,1792515
NCT04481633,19014878
NCT04481633,1305058
NCT04481633,724049
NCT04483622,35917384
NCT03376854,1321341
NCT03376854,413266
NCT04478071,4236208
NCT04478071,19052489
NCT04478071,1151422
NCT04476719,1912789
NCT04476719,36230666
NCT04476719,40768833
NCT04476719,723521
NCT04476719,36444848
NCT04476719,1367571
NCT04476719,42539385
NCT04476719,1134439
NCT04476719,4103594
NCT04476719,43533099
NCT04476719,36203427
NCT04476719,4126329
NCT04475068,19006871
NCT04488081,4029802
NCT04368026,36309133
NCT04483375,4080983
NCT04483375,2615301
NCT04483375,4216339
NCT04483375,35609392
NCT04483375,413266
NCT04483375,40779582
NCT04483375,4268323
NCT04483375,1704183
NCT04485429,21601607
NCT04485429,358034
NCT04485429,43012953
NCT04481646,4322904
NCT04460651,358034
NCT04460651,35807468
NCT04482595,37017059
NCT04482595,1304107
NCT04482595,45775396
NCT04482595,45775206
NCT04482595,1902805
NCT04482595,1101554
NCT04482595,46271778
NCT04482595,1114375
NCT04482595,40171288
NCT04482595,4029802
NCT04482595,1110942
NCT04482595,723814
NCT04482595,1551099
NCT04386876,1748921
NCT04386876,1912789
NCT04386876,36230666
NCT04386876,40768833
NCT04386876,723521
NCT04386876,36444848
NCT04386876,42539385
NCT04386876,1134439
NCT04386876,4103594
NCT04386876,43533099
NCT04386876,1367571
NCT04386876,36203427
NCT04386876,4126329
NCT04486313,3580636
NCT04486313,4273629
NCT04486313,4024511
NCT04486313,4241216
NCT04486313,1500211
NCT04486313,757679
NCT04486313,35807195
NCT04486313,1715315
NCT04486313,4236208
NCT04343053,35807312
NCT04343053,45883113
NCT04476992,19025274
NCT04479163,4242843
NCT04479163,19025274
NCT04447833,4200885
NCT04447833,4280677
NCT04447833,92898
NCT04475120,19020068
NCT04475120,19095729
NCT03648372,40769051
NCT03648372,429709
NCT03648372,715764
NCT03648372,1777087
NCT03648372,1792515
NCT03648372,4073634
NCT03648372,358034
NCT03648372,4203831
NCT03648372,35621782
NCT03648372,4126018
NCT04480957,35807195
NCT04480957,35807195
NCT04480957,45883741
NCT04480957,35941093
NCT04424212,38003475
NCT04473261,1780601
NCT03042143,45883113
NCT04388527,413266
NCT04388527,4138659
NCT04388527,429709
NCT04388527,1777087
NCT04328285,1777087
NCT04328285,44378
NCT04348383,4145042
NCT04348383,358034
NCT04348383,42898933
NCT04331834,4260907
NCT04331834,724119
NCT04331834,37017208
NCT04331834,21601607
NCT04331834,1792515
NCT04331834,1777087
NCT04331834,21604887
NCT04331834,19049024
NCT04331834,35624411
NCT04331834,19135791
NCT04331834,36309788
NCT04331834,1525746
NCT04400032,4295112
NCT04438837,1777087
NCT04438837,1792515
NCT04438837,1734104
NCT04438837,135486
NCT04438837,1309944
NCT04438837,1326303
NCT04438837,1351461
NCT04438837,1353256
NCT04438837,700299
NCT04438837,74579
NCT04438837,4016919
NCT04385940,19009405
NCT04393038,19025274
NCT04393038,4253598
NCT04393038,4227745
NCT04393038,4236208
NCT04391309,4140455
NCT04391309,46285248
NCT04391309,35807444
NCT04391309,1151789
NCT04391309,35614525
NCT04391309,45877018
NCT04391309,1119119
NCT04391309,1114375
NCT04391309,40171288
NCT04391309,724049
NCT04391309,35807403
NCT04336410,429709
NCT04336410,4242843
NCT04336410,40796107
NCT04336410,2108712
NCT04336410,426843
NCT04268537,38003144
NCT04268537,4092441
NCT04268537,1501761
NCT04343144,45892628
NCT04343144,3199629
NCT04343144,3199629
NCT04342156,21604077
NCT04342156,1777087
NCT04342156,3186744
NCT04342156,21601607
NCT04342156,4008859
NCT04321174,1748921
NCT04321174,416341
NCT04321174,930021
NCT04321174,1309944
NCT04321174,19133832
NCT04321174,1150836
NCT04321174,932196
NCT04321174,1101554
NCT04321174,40163615
NCT04321174,1145379
NCT04321174,1126557
NCT04321174,1345205
NCT04321174,1305637
NCT04321174,190104
NCT04321174,40230761
NCT04321174,74579
NCT04321174,1316262
NCT04321174,704599
NCT04321174,708298
NCT04321174,1763204
NCT04321174,1763204
NCT04321174,1398039
NCT04321174,1336926
NCT04321174,35604205
NCT04321174,1592085
NCT04321174,19031851
NCT04321174,43013119
NCT04321174,1539403
NCT04321174,19037852
NCT04321174,1311276
NCT04321174,1137529
NCT04321174,2721617
NCT04363814,4242843
NCT04363814,4295112
NCT04363814,1503297
NCT04363814,4046883
NCT04363814,739138
NCT04292899,4049795
NCT04292899,715764
NCT04292899,19052489
NCT04342728,19018544
NCT04329650,4242843
NCT04329650,4082398
NCT04329650,21601607
NCT04329650,35621782
NCT04329650,40171288
NCT04329650,4236208
NCT04329650,19069149
NCT04329650,19069149
NCT04335136,36203427
NCT04384549,4173939
NCT04384549,4173939
NCT04384549,4173939
NCT04384549,40213261
NCT04384549,4148055
NCT04384549,4314777
NCT04384549,723814
NCT04384549,4242843
NCT04384549,722871
NCT04384549,40213261
NCT04384549,4199458
NCT04384549,4179735
NCT04363502,35807195
NCT04435717,4253598
NCT04385849,19025274
NCT04385849,4306137
NCT04377659,4180039
NCT04419025,4256491
NCT04438980,40796107
NCT04438980,4242843
NCT04438980,4029802
NCT04399356,4049795
NCT04399356,1792515
NCT04399356,1777087
NCT04401475,4078952
NCT04401475,4236208
NCT04401475,4242843
NCT04401475,3186744
NCT04401475,35807403
NCT04380961,429709
NCT04380961,37018292
NCT04380961,19052489
NCT04380961,432602
NCT04377997,36674433
NCT04318015,4094767
NCT04318015,1792515
NCT04318015,1777087
NCT04377334,35807195
NCT04398004,4323636
NCT04398004,1777087
NCT04398004,1792515
NCT04398004,4125861
NCT04398004,21601607
NCT04398004,1551099
NCT04395170,19025274
NCT04395170,4049795
NCT04395170,4079979
NCT04395170,40765346
NCT04395170,757679
NCT04347889,21604887
NCT04347889,1912789
NCT04347889,1436678
NCT04347889,1777087
NCT04422275,21601607
NCT04422275,939259
NCT04422275,45876559
NCT04347174,35807195
NCT04354155,36674433
NCT04283461,21601607
NCT04283461,4032973
NCT04283461,724193
NCT04283461,1237049
NCT04283461,1112921
NCT04283461,4029802
NCT04283461,4288455
