covidtrialID,conditionOMOPID
NCT04462848,42870418
NCT04462848,703439
NCT04462848,418763
NCT04422522,4316217
NCT04405466,36308878
NCT04405466,4309345
NCT04405466,703439
NCT04453748,703439
NCT04453748,37311061
NCT04469491,37311061
NCT04469491,756039
NCT04383678,37311061
NCT04383678,4195694
NCT04396314,4027315
NCT04396314,37311061
NCT04396314,436676
NCT04396314,43789051
NCT04411459,37311061
NCT04411459,255848
NCT04346277,703439
NCT04346277,4041437
NCT04346277,703439
NCT04346277,256622
NCT04346277,43739
NCT04346277,40757139
NCT04364711,4307774
NCT04364711,4281995
NCT04364711,437663
NCT04364711,313878
NCT04364711,254761
NCT04364711,4226263
NCT04364711,312437
NCT04364711,378253
NCT04364711,442752
NCT04364711,703439
NCT04422613,37311061
NCT04422613,37310285
NCT04422613,100357
NCT04422613,4281995
NCT04422613,255848
NCT04394000,37311061
NCT04355481,703439
NCT04355481,4170143
NCT04355481,4170143
NCT04355481,703439
NCT04456426,100357
NCT04456426,37311061
NCT04391686,756039
NCT04431414,703439
NCT04431414,4309345
NCT04431414,437663
NCT04431414,378253
NCT04431414,4226263
NCT04431414,254761
NCT04431414,312437
NCT04431414,4276172
NCT04431414,196523
NCT04431414,4185711
NCT04431414,37311061
NCT04431414,4142947
NCT04431414,4037484
NCT04431414,37311061
NCT04424940,37311061
NCT04325048,37311061
NCT04325048,254761
NCT04325048,312437
NCT04325048,255848
NCT04418557,37311061
NCT04418557,4299535
NCT04362930,4204852
NCT04362930,45876621
NCT04362930,37311061
NCT04362930,756039
NCT04362930,37311061
NCT04362930,43225
NCT04387799,255848
NCT04368338,37311061
NCT04368338,756039
NCT04368338,703439
NCT04259892,703439
NCT04391400,45882326
NCT04391400,703439
NCT04391400,43225
NCT04391400,37311061
NCT04392401,703439
NCT04392401,45878035
NCT04392401,100357
NCT04433000,37311061
NCT04323787,37311061
NCT04445961,255919
NCT04445961,4223659
NCT04445961,37309635
NCT04445961,37311061
NCT04445961,319049
NCT04371471,703439
NCT04385108,37311061
NCT04385108,35923655
NCT04385108,703439
NCT04354766,43225
NCT04346420,37311061
NCT04450277,4079617
NCT04450277,756039
NCT04379453,45881078
NCT04379453,134057
NCT04379453,4142947
NCT04379453,4185932
NCT04379453,4186397
NCT04379453,40599742
NCT04379453,317309
NCT04379453,44792551
NCT04319016,4299535
NCT04380792,37311061
NCT04337190,756039
NCT04337190,319049
NCT04376905,37311061
NCT04367792,37311061
NCT04466540,37311061
NCT04466540,4037484
NCT04466540,316866
NCT04466540,20182
NCT04466540,317009
NCT04466540,255573
NCT04466540,4186898
NCT04466540,433736
NCT04337346,433527
NCT04337346,40757687
NCT04359264,37311061
NCT04332913,703439
NCT04332913,4185135
NCT04332913,703439
NCT04332913,4183351
NCT04332913,37311061
NCT04332913,100357
NCT04424082,37311061
NCT04422561,37311061
NCT04379297,443783
NCT04379297,4309345
NCT04379297,43225
NCT04379297,1177314
NCT04379297,703439
NCT04379297,1177314
NCT04327804,703439
NCT04327804,703439
NCT04456101,4309345
NCT04456101,36308878
NCT04412369,37311061
NCT04407572,37311061
NCT04407572,4299535
NCT04365725,703439
NCT04461379,37311061
NCT04461379,703439
NCT04361838,37311061
NCT04361838,37311061
NCT04342195,37311061
NCT04342195,100357
NCT04342195,4142947
NCT04342195,37311061
NCT04342195,4309345
NCT04335097,43225
NCT04395833,4027471
NCT04275947,37311061
NCT04377412,4299535
NCT04394403,4074628
NCT04451239,37311061
NCT04451239,380397
NCT04350450,37109703
NCT04350450,45882797
NCT04350450,4142947
NCT04350450,37311061
NCT04350450,37109703
NCT04350450,316866
NCT04350450,317576
NCT04350450,4134586
NCT04350450,45879799
NCT04350450,46271022
NCT04350450,4186898
NCT04350450,4066212
NCT04350450,706376
NCT04350450,254761
NCT04350450,437663
NCT04350450,196523
NCT04350450,312437
NCT04350450,4306572
NCT04447235,4238439
NCT04447235,36716893
NCT04447235,1177186
NCT04447235,3593387
NCT04447235,443392
NCT04447235,415316
NCT04456595,4216316
NCT04456595,4112752
NCT04456595,411683
NCT04456595,4267414
NCT04456595,434621
NCT04456595,437663
NCT04456595,37311061
NCT04344925,4256228
NCT04344925,4091166
NCT04321265,301018
NCT04321265,43225
NCT04321265,45763724
NCT04431856,441542
NCT04431856,440383
NCT04431856,436676
NCT04335630,437663
NCT04335630,4226263
NCT04335630,254761
NCT04335630,4195085
NCT04335630,312437
NCT04353596,4142947
NCT04353596,45878035
NCT04353596,4305599
NCT04353596,20182
NCT04353596,316139
NCT04353596,317576
NCT04397939,37311061
NCT04406688,42035945
NCT04406688,45878035
