covidtrialID,measurementOMOPID
NCT04468087,3026258
NCT04468087,4239408
NCT04464408,37016292
NCT04464408,4189605
NCT04452097,4189605
NCT04452097,4480642
NCT04452097,4250175
NCT04363489,37311061
NCT04376580,45879067
NCT04459325,4313591
NCT04459325,45889912
NCT04459325,409491
NCT04453839,4150345
NCT04453839,37393856
NCT04453839,4223299
NCT04369807,45771331
NCT04459819,4169175
NCT04349618,4099592
NCT04349618,4313591
NCT04349618,4099154
NCT04349618,4156221
NCT04349618,4134118
NCT04349618,37016292
NCT04349618,19136048
NCT04451291,37061515
NCT04451291,403485
NCT04451291,4211515
NCT04451291,414638
NCT04451291,4094657
NCT04451291,4189605
NCT04451291,3630868
NCT04451291,4039428
NCT04463472,45771331
NCT04463472,4161294
NCT04463472,4196729
NCT04408248,4010833
NCT04408248,4480642
NCT04408248,4336683
NCT04357431,36309133
NCT04351243,4148615
NCT04351243,4267147
NCT04351243,4189605
NCT04351243,414638
NCT04351243,4336683
NCT04409743,3668483
NCT04434157,4078242
NCT04434157,4211531
NCT04399005,4302666
NCT04435327,4213477
NCT04293692,37018292
NCT04316728,4302666
NCT04316728,4313591
NCT04316728,42599524
NCT04382092,44051935
NCT04408027,764785
NCT04326036,37311061
NCT04326036,4295933
NCT04452773,35936749
NCT04452773,4078242
NCT04452773,4173939
NCT04449276,4078242
NCT04449276,4120014
NCT04449276,4023216
NCT04449276,4086587
NCT04422626,46270079
NCT04422626,45875989
NCT04453384,4336683
NCT04371926,1777087
NCT04371926,4099154
NCT04369456,4298393
NCT04369456,4296538
NCT04448054,4120014
NCT04448054,45768421
NCT04448054,4057304
NCT04409925,937673
NCT04412239,434557
NCT04382534,4302666
NCT04382534,4239408
NCT04382534,4152194
NCT04382534,4313591
NCT04382534,4181663
NCT04441372,703443
NCT04384965,4157256
NCT04384965,4157256
NCT04384965,4353953
NCT04387409,4078242
NCT04387409,40218805
NCT04454307,4326594
NCT04454307,4189605
NCT04393155,45889912
NCT04393155,413384
NCT04361903,37022347
NCT04361903,431447
NCT04361903,4041848
NCT04366141,4142891
NCT04366141,4245997
NCT04344015,45876012
NCT04364984,4223299
NCT04350073,4353936
NCT04350073,4353713
NCT04350073,4353713
NCT04350073,4139633
NCT04350073,2786025
NCT04350073,4302666
NCT04350073,45878402
NCT04445376,4326744
NCT04445376,4217691
NCT04445376,304492
NCT04407546,40218805
NCT04437121,4082751
NCT04469179,4313591
NCT04469179,4096101
NCT04469179,4239408
NCT04469179,409491
NCT04469179,19117912
NCT04469179,4216067
NCT04405544,35936749
NCT04405544,4120014
NCT04422691,37311061
NCT04362358,134442
NCT04419623,1704183
NCT04356495,4239408
NCT04356495,4203757
NCT04429334,4041878
